Nro.;Codigo;Turno_ID;Descripcion;Hora_Inicio;Hora_Termino;Descanso1;Descanso2;Total_Horas;Refrigerio;H.Efectivas;Inicio_Refrigerio;Fin_Refrigerio;Avail
1 ;2440 ;2014;De 09:30 a 13:30 ht 4 ;09:30 ;13:30 ;0 ;0 ;04:00 ;0 ;4:00;;;0
2 ;2441 ;C0001;De 10:30 a 16:00 ht 5 ;10:30 ;16:00 ;0 ;0 ;05:30 ;30 ;5:00;;;1
3 ;2442 ;C0002;De 10:30 a 16:00 ht 5.5 ;10:30 ;16:00 ;30 ;0 ;05:30 ;0 ;5:30;;;0
4 ;2443 ;C0003;De 07:30 a 17:30 ht 9 ;07:30 ;17:30 ;0 ;0 ;10:00 ;60 ;9:00;11:30 ;12:30 ;0
5 ;2444 ;C0004;De 07:00 a 10:00 ht 3 ;07:00 ;10:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
6 ;2445 ;C0005;De 08:45 a 19:00 ht 9.25 ;08:45 ;19:00 ;0 ;0 ;10:15 ;60 ;9:15;;;0
7 ;2450 ;C0006;De 06:00 a 09:00 ht 3 ;06:00 ;09:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
8 ;2304 ;FID1;De 12:00 a 18:30 ht 6.5 ;12:00 ;18:30 ;0 ;0 ;06:30 ;0 ;6:30;;;0
9 ;2305 ;fide02;De 12:00 a 21:00 ht 9 ;12:00 ;21:00 ;30 ;0 ;09:00 ;0 ;9:00;;;1
10 ;2306 ;fide03;De 11:30 a 17:30 ht 6 ;11:30 ;17:30 ;15 ;0 ;06:00 ;0 ;6:00;;;0
11 ;2307 ;Fide04;De 13:00 a 23:00 ht 10 ;13:00 ;23:00 ;30 ;0 ;10:00 ;0 ;10:00;;;0
12 ;2314 ;Fide05;De 12:00 a 15:00 ht 3 ;12:00 ;15:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
13 ;2318 ;Fide06;De 10:00 a 13:00 ht 3 ;10:00 ;13:00 ;0 ;0 ;03:00 ;0 ;3:00;;;0
